id,m,p,n
63.0,0.43926839136355406,0.3425324675324675,616.0
64.0,-0.747209603875978,0.7927170868347339,357.0
65.0,0.3203469293627977,0.3448275862068966,116.0
66.0,0.7062224150134802,0.21987951807228914,332.0
67.0,-0.21603160412302894,0.5884476534296029,277.0
68.0,1.036598908848013,0.09562841530054644,366.0
69.0,0.8744662814048701,0.176,500.0
70.0,1.1026952563577042,0.1050080775444265,619.0
71.0,0.9150076233247872,0.16173570019723865,507.0
72.0,-0.6949702849372866,0.7587628865979381,485.0
73.0,0.3236556693622433,0.37362637362637363,364.0
74.0,0.5066992590726773,0.3027027027027027,370.0
75.0,0.8641386229699184,0.14339622641509434,265.0
76.0,-0.10631305172245928,0.5421686746987951,332.0
77.0,0.5306051455864447,0.2788844621513944,251.0
78.0,0.3517016525042209,0.37460815047021945,638.0
79.0,0.25187217657266914,0.3979591836734694,294.0
81.0,0.5573513347900175,0.2857142857142857,399.0
82.0,0.23246113836846882,0.4124168514412417,451.0
83.0,0.35676581698492965,0.34375,192.0
84.0,0.8165160520301435,0.16483516483516483,273.0
86.0,1.1515980287102445,0.0,201.0
87.0,0.21207982630078123,0.4225865209471767,549.0
88.0,0.8043600528442235,0.18848167539267016,382.0
89.0,0.5331519199937438,0.3197353914002205,907.0
91.0,0.018576718061313918,0.49230769230769234,260.0
92.0,1.0122609724245208,0.11502347417840375,426.0
95.0,0.17537299440868384,0.42748091603053434,262.0
96.0,0.842818075525139,0.19630872483221476,596.0
97.0,0.6814072089338945,0.24336283185840707,452.0
99.0,0.6384792890576054,0.2603036876355748,461.0
101.0,0.7053211548088237,0.22123893805309736,339.0
103.0,0.9172261469431069,0.1475,400.0
104.0,0.7791769255008151,0.1752988047808765,251.0
105.0,-0.573359550106264,0.7247191011235955,356.0
107.0,0.45289736265003017,0.3371900826446281,605.0
113.0,0.536232474334233,0.302504816955684,519.0
116.0,-0.07959486137169197,0.532608695652174,276.0
122.0,0.5108582911418031,0.3071748878923767,446.0
124.0,-0.5705263455155625,0.7251461988304093,342.0
129.0,0.7886402916420275,0.17793594306049823,281.0
130.0,0.4227663017028178,0.31981981981981983,222.0
132.0,0.8805041947087323,0.15555555555555556,360.0
133.0,0.1398532817304902,0.4396135265700483,207.0
134.0,0.5747448758689894,0.27548209366391185,363.0
135.0,-0.3923029697911732,0.6422338568935427,573.0
136.0,1.3473025994667844,0.0,495.0
138.0,-0.24881897858137444,0.5982404692082112,341.0
140.0,1.007548115816078,0.08365019011406843,263.0
143.0,0.38330552958908826,0.33636363636363636,220.0
144.0,0.5124226595160596,0.2694610778443114,167.0
145.0,0.8880833713158214,0.17391304347826086,529.0
147.0,-0.11470758395354946,0.5439024390243903,410.0
149.0,0.13106338846330937,0.4487534626038781,361.0
152.0,0.37219401658099915,0.3644524236983842,557.0
157.0,1.0145218407711771,0.0784313725490196,255.0
160.0,0.9190242475808948,0.11646586345381527,249.0
163.0,0.43793181530652003,0.3325242718446602,412.0
167.0,0.33643359147174035,0.35918367346938773,245.0
168.0,-0.33441189934022864,0.6343042071197411,309.0
174.0,0.4814059861652351,0.3050847457627119,295.0
175.0,0.2894573568224485,0.3921161825726141,482.0
177.0,-0.4289037634803007,0.7007299270072993,137.0
191.0,-0.6152106749990514,0.7771084337349398,166.0
199.0,0.504022371642408,0.2939068100358423,279.0
204.0,0.7826052616718931,0.20449438202247192,445.0
206.0,0.5179372729238707,0.3075356415478615,491.0
209.0,0.5349658043470013,0.25903614457831325,166.0
216.0,0.6590053512722915,0.23548387096774193,310.0
222.0,-0.8414526415585662,0.8274932614555256,371.0
225.0,0.9433207170187267,0.13670886075949368,395.0
226.0,-0.30773762662478465,0.6160714285714286,448.0
238.0,0.8378070215172377,0.13725490196078433,204.0
239.0,0.17214865563487666,0.4316109422492401,329.0
240.0,0.6531149502675062,0.24277456647398843,346.0
247.0,0.5138622041687645,0.29607250755287007,331.0
251.0,-0.09230157600457031,0.5381679389312977,262.0
287.0,0.3966415380516462,0.3485576923076923,416.0
296.0,0.7661466477559997,0.22408026755852842,598.0
300.0,-0.9206759518233917,0.8360655737704918,549.0
365.0,0.5145787880454812,0.30504587155963303,436.0
371.0,0.5660568487804428,0.2912621359223301,515.0
372.0,-0.5806360466205142,0.7553191489361702,188.0
511.0,0.846812460368036,0.17027027027027028,370.0
662.0,0.9612827778798634,0.12430939226519337,362.0
784.0,0.6998794652999176,0.2235294117647059,340.0
785.0,1.0050827628726973,0.08928571428571429,280.0
795.0,0.6384471571335063,0.2689655172413793,580.0
813.0,0.8060412509492593,0.21351766513056836,651.0
842.0,-0.0516619770334728,0.518348623853211,654.0
864.0,0.5162635892100792,0.30288461538461536,416.0
865.0,0.9723296247631122,0.13548387096774195,465.0
874.0,0.9330097550010439,0.13535911602209943,362.0
875.0,1.224416764361381,0.0549645390070922,564.0
876.0,0.842439581241507,0.19439579684763572,571.0
878.0,1.0105569113802793,0.1430678466076696,678.0
898.0,-0.06282798839756124,0.5247813411078717,343.0
900.0,-0.30579968546099995,0.6145610278372591,467.0
924.0,0.08327326140178913,0.4659498207885305,279.0
929.0,0.6429320500217478,0.24193548387096775,310.0
940.0,-0.18001697464983782,0.5692695214105793,397.0
1009.0,0.8300452441427961,0.20754716981132076,689.0
1011.0,1.2714127134795898,0.0,349.0
1018.0,1.067181033318527,0.09777777777777778,450.0
1031.0,-0.3797218375563383,0.65,340.0
1032.0,0.39758377255007005,0.34739454094292804,403.0
1054.0,0.6412395968142277,0.2564102564102564,429.0
1058.0,0.6205751051432168,0.2613065326633166,398.0
1087.0,0.5946331151956508,0.2725060827250608,411.0
1097.0,0.5625655437690293,0.27419354838709675,310.0
1104.0,0.9582765566729148,0.1079136690647482,278.0
1106.0,-0.16367462799449523,0.5649546827794562,331.0
1111.0,1.017117324170277,0.15162454873646208,831.0
1123.0,1.0042990431417786,0.17302798982188294,1179.0
1127.0,0.28784108040484563,0.3803921568627451,255.0
1134.0,-0.819435574327348,0.8390804597701149,261.0
1136.0,1.0806913845847754,0.07331378299120235,341.0
1137.0,0.9977925584261681,0.09836065573770492,305.0
1141.0,0.07893287956472077,0.4707070707070707,495.0
1152.0,0.8537056411638444,0.13270142180094788,211.0
1187.0,0.28648986088788686,0.39198218262806234,449.0
1190.0,-0.04516007315785706,0.5173267326732673,404.0
1204.0,-0.38699030949604135,0.6494845360824743,388.0
1215.0,1.2559416804894372,0.0,325.0
1219.0,0.46916998522970865,0.33799237611181704,787.0
1226.0,1.06078155962832,0.13647342995169082,828.0
1227.0,0.7321174024214805,0.24289772727272727,704.0
1235.0,0.4875637620640824,0.33208489388264667,801.0
1241.0,-0.32280322963708896,0.6197183098591549,497.0
1243.0,0.2816908120887293,0.3817427385892116,241.0
1266.0,-0.503032658905898,0.6897321428571429,448.0
1284.0,-0.2580928618140056,0.5909752547307132,687.0
1285.0,1.0804659675072474,0.08136482939632546,381.0
1286.0,1.0443535264394963,0.06844106463878327,263.0
1287.0,0.4458514734299573,0.3429811866859624,691.0
